eps_e,s_e,fitness_q132,n_ghosts,n_dark,n_gap
476.4826,1.9680,1.0000,0,29,53
488.0017,1.9680,1.0000,0,29,53
499.7993,1.9680,1.0000,0,29,53
511.8822,1.9680,1.0000,0,29,53
524.2571,1.9680,1.0000,0,29,53
536.9313,1.9680,1.0000,0,29,53
549.9118,1.9680,1.0000,0,29,53
563.2061,1.9680,1.0000,0,29,53
576.8218,1.9680,1.0000,0,29,53
590.7667,1.9680,1.0000,0,29,53
605.0487,1.9680,1.0000,0,29,53
619.6760,1.9680,1.0000,0,29,53
634.6569,1.9680,1.0000,0,29,53
650.0000,1.9680,1.0000,0,29,53
250.0000,1.9700,1.0000,0,26,54
256.0438,1.9700,1.0000,0,26,54
262.2338,1.9700,1.0000,0,26,54
268.5734,1.9700,1.0000,0,26,54
275.0663,1.9700,1.0000,0,26,54
281.7161,1.9700,1.0000,0,26,54
288.5267,1.9700,1.0000,0,27,54
295.5019,1.9700,1.0000,0,27,54
302.6458,1.9700,1.0000,0,27,54
309.9624,1.9700,1.0000,0,27,54
317.4559,1.9700,1.0000,0,27,54
325.1305,1.9700,1.0000,0,27,54
332.9906,1.9700,1.0000,0,27,54
341.0408,1.9700,1.0000,0,27,54
349.2856,1.9700,1.0000,0,27,54
357.7297,1.9700,1.0000,0,27,54
366.3780,1.9700,1.0000,0,27,54
375.2353,1.9700,1.0000,0,27,54
384.3068,1.9700,1.0000,0,27,54
393.5975,1.9700,1.0000,0,27,54
403.1129,1.9700,1.0000,0,27,54
412.8583,1.9700,1.0000,0,27,54
422.8393,1.9700,1.0000,0,27,54
433.0616,1.9700,1.0000,0,27,54
443.5310,1.9700,1.0000,0,27,54
454.2536,1.9700,1.0000,0,27,54
465.2353,1.9700,1.0000,0,27,54
476.4826,1.9700,1.0000,0,27,54
488.0017,1.9700,1.0000,0,27,54
499.7993,1.9700,1.0000,0,27,54
511.8822,1.9700,1.0000,0,27,54
524.2571,1.9700,1.0000,0,27,54
536.9313,1.9700,1.0000,0,27,54
549.9118,1.9700,1.0000,0,27,54
563.2061,1.9700,1.0000,0,27,54
576.8218,1.9700,1.0000,0,27,54
590.7667,1.9700,1.0000,0,27,54
605.0487,1.9700,1.0000,0,27,54
619.6760,1.9700,1.0000,0,27,54
634.6569,1.9700,1.0000,0,27,54
650.0000,1.9700,1.0000,0,27,54
250.0000,1.9720,1.0000,0,26,53
256.0438,1.9720,1.0000,0,26,53
262.2338,1.9720,1.0000,0,26,53
268.5734,1.9720,1.0000,0,26,53
275.0663,1.9720,1.0000,0,26,53
281.7161,1.9720,1.0000,0,26,53
288.5267,1.9720,1.0000,0,26,53
295.5019,1.9720,1.0000,0,26,53
302.6458,1.9720,1.0000,0,26,53
309.9624,1.9720,1.0000,0,27,53
317.4559,1.9720,1.0000,0,27,53
325.1305,1.9720,1.0000,0,27,53
332.9906,1.9720,1.0000,0,27,53
341.0408,1.9720,1.0000,0,27,53
349.2856,1.9720,1.0000,0,27,53
357.7297,1.9720,1.0000,0,27,53
366.3780,1.9720,1.0000,0,27,53
375.2353,1.9720,1.0000,0,27,53
384.3068,1.9720,1.0000,0,27,53
393.5975,1.9720,1.0000,0,27,53
403.1129,1.9720,1.0000,0,27,53
412.8583,1.9720,1.0000,0,27,53
422.8393,1.9720,1.0000,0,27,53
433.0616,1.9720,1.0000,0,27,53
443.5310,1.9720,1.0000,0,27,53
454.2536,1.9720,1.0000,0,27,53
465.2353,1.9720,1.0000,0,27,53
476.4826,1.9720,1.0000,0,27,53
488.0017,1.9720,1.0000,0,27,53
499.7993,1.9720,1.0000,0,27,53
511.8822,1.9720,1.0000,0,27,53
524.2571,1.9720,1.0000,0,27,53
536.9313,1.9720,1.0000,0,27,53
549.9118,1.9720,1.0000,0,27,53
563.2061,1.9720,1.0000,0,27,53
576.8218,1.9720,1.0000,0,27,53
590.7667,1.9720,1.0000,0,27,53
605.0487,1.9720,1.0000,0,27,53
619.6760,1.9720,1.0000,0,27,53
634.6569,1.9720,1.0000,0,27,53
650.0000,1.9720,1.0000,0,27,53
250.0000,1.9740,1.0000,0,27,53
256.0438,1.9740,1.0000,0,27,53
262.2338,1.9740,1.0000,0,27,53
268.5734,1.9740,1.0000,0,27,53
275.0663,1.9740,1.0000,0,27,53
281.7161,1.9740,1.0000,0,27,53
288.5267,1.9740,1.0000,0,27,53
295.5019,1.9740,1.0000,0,27,53
302.6458,1.9740,1.0000,0,27,53
309.9624,1.9740,1.0000,0,27,53
317.4559,1.9740,1.0000,0,26,53
325.1305,1.9740,1.0000,0,26,53
332.9906,1.9740,1.0000,0,27,53
341.0408,1.9740,1.0000,0,27,53
349.2856,1.9740,1.0000,0,27,53
357.7297,1.9740,1.0000,0,27,53
366.3780,1.9740,1.0000,0,27,53
375.2353,1.9740,1.0000,0,27,53
384.3068,1.9740,1.0000,0,27,53
393.5975,1.9740,1.0000,0,27,53
403.1129,1.9740,1.0000,0,27,53
412.8583,1.9740,1.0000,0,27,53
422.8393,1.9740,1.0000,0,27,53
433.0616,1.9740,1.0000,0,27,53
443.5310,1.9740,1.0000,0,27,53
454.2536,1.9740,1.0000,0,27,53
465.2353,1.9740,1.0000,0,27,53
476.4826,1.9740,1.0000,0,27,53
488.0017,1.9740,1.0000,0,27,53
499.7993,1.9740,1.0000,0,27,53
511.8822,1.9740,1.0000,0,27,53
524.2571,1.9740,1.0000,0,27,53
536.9313,1.9740,1.0000,0,27,53
549.9118,1.9740,1.0000,0,27,53
563.2061,1.9740,1.0000,0,27,53
576.8218,1.9740,1.0000,0,27,53
590.7667,1.9740,1.0000,0,27,53
605.0487,1.9740,1.0000,0,27,53
619.6760,1.9740,1.0000,0,27,53
634.6569,1.9740,1.0000,0,27,53
650.0000,1.9740,1.0000,0,27,53
250.0000,1.9760,1.9315,0,27,52
256.0438,1.9760,1.9630,0,27,52
262.2338,1.9760,1.9931,0,27,52
268.5734,1.9760,1.9781,0,27,52
275.0663,1.9760,1.9507,0,27,52
281.7161,1.9760,1.9245,0,27,51
288.5267,1.9760,1.8994,0,27,51
295.5019,1.9760,1.8756,0,27,51
302.6458,1.9760,1.8527,0,27,51
309.9624,1.9760,1.8310,0,27,51
317.4559,1.9760,1.8102,0,27,51
325.1305,1.9760,1.7904,0,27,51
332.9906,1.9760,1.7714,0,27,51
341.0408,1.9760,1.7666,0,27,51
349.2856,1.9760,1.7837,0,27,51
357.7297,1.9760,1.8000,0,28,51
366.3780,1.9760,1.8155,0,28,51
375.2353,1.9760,1.8304,0,28,51
384.3068,1.9760,1.8445,0,28,51
393.5975,1.9760,1.8580,0,28,51
403.1129,1.9760,1.8709,0,28,51
412.8583,1.9760,1.8832,0,28,51
422.8393,1.9760,1.8950,0,28,51
433.0616,1.9760,1.9062,0,28,51
443.5310,1.9760,1.9168,0,28,51
454.2536,1.9760,1.9270,0,27,51
465.2353,1.9760,1.9368,0,27,51
476.4826,1.9760,1.9460,0,27,51
488.0017,1.9760,1.9549,0,27,51
499.7993,1.9760,1.9633,0,27,51
511.8822,1.9760,1.9713,0,27,51
524.2571,1.9760,1.9790,0,27,51
536.9313,1.9760,1.9863,0,27,51
549.9118,1.9760,1.9933,0,27,51
563.2061,1.9760,2.0000,0,27,51
576.8218,1.9760,1.9937,0,27,51
590.7667,1.9760,1.9876,0,27,51
605.0487,1.9760,1.9818,0,27,51
619.6760,1.9760,1.9763,0,27,51
634.6569,1.9760,1.9711,0,27,51
650.0000,1.9760,1.9661,0,27,51
250.0000,1.9780,1.0000,0,28,55
256.0438,1.9780,1.0000,0,28,56
262.2338,1.9780,1.0000,0,28,56
268.5734,1.9780,1.0000,0,28,56
275.0663,1.9780,1.0000,0,28,57
281.7161,1.9780,1.0000,0,28,57
288.5267,1.9780,1.0000,0,28,57
295.5019,1.9780,1.0000,0,28,57
302.6458,1.9780,1.0000,0,28,57
309.9624,1.9780,1.0000,0,28,57
317.4559,1.9780,1.0000,0,28,57
325.1305,1.9780,1.0000,0,28,57
332.9906,1.9780,1.0000,0,28,57
341.0408,1.9780,1.0000,0,28,56
349.2856,1.9780,1.0000,0,28,56
357.7297,1.9780,1.0000,0,28,56
366.3780,1.9780,1.0000,0,28,56
375.2353,1.9780,1.0000,0,28,56
384.3068,1.9780,1.0000,0,28,55
393.5975,1.9780,1.0000,0,29,55
403.1129,1.9780,1.0000,0,29,55
412.8583,1.9780,1.0000,0,29,55
422.8393,1.9780,1.0000,0,29,55
433.0616,1.9780,1.0000,0,29,55
443.5310,1.9780,1.0000,0,29,55
454.2536,1.9780,1.0000,0,29,55
465.2353,1.9780,1.0000,0,29,55
476.4826,1.9780,1.0000,0,29,55
488.0017,1.9780,1.0000,0,29,55
499.7993,1.9780,1.0000,0,29,55
511.8822,1.9780,1.0000,0,29,55
524.2571,1.9780,1.0000,0,29,55
536.9313,1.9780,1.0000,0,29,55
549.9118,1.9780,1.0000,0,29,55
563.2061,1.9780,1.0000,0,29,55
576.8218,1.9780,1.0000,0,29,55
590.7667,1.9780,1.0000,0,29,55
605.0487,1.9780,1.0000,0,29,55
619.6760,1.9780,1.0000,0,29,55
634.6569,1.9780,1.0000,0,29,55
650.0000,1.9780,1.0000,0,29,55
250.0000,1.9800,1.0000,0,27,53
256.0438,1.9800,1.0000,0,27,53
262.2338,1.9800,1.0000,0,27,53
268.5734,1.9800,1.0000,0,27,53
275.0663,1.9800,1.0000,0,27,53
281.7161,1.9800,1.0000,0,27,54
288.5267,1.9800,1.0000,0,27,54
295.5019,1.9800,1.0000,0,27,54
302.6458,1.9800,1.0000,0,27,55
309.9624,1.9800,1.0000,0,27,55
317.4559,1.9800,1.0000,0,27,55
325.1305,1.9800,1.0000,0,27,55
332.9906,1.9800,1.0000,0,27,55
341.0408,1.9800,1.0000,0,27,55
349.2856,1.9800,1.0000,0,27,55
357.7297,1.9800,1.0000,0,27,55
366.3780,1.9800,1.0000,0,27,55
375.2353,1.9800,1.0000,0,27,55
384.3068,1.9800,1.0000,0,26,55
393.5975,1.9800,1.0000,0,26,55
403.1129,1.9800,1.0000,0,26,55
412.8583,1.9800,1.0000,0,26,55
422.8393,1.9800,1.0000,0,26,55
433.0616,1.9800,1.0000,0,27,55
443.5310,1.9800,1.0000,0,27,55
454.2536,1.9800,1.0000,0,27,55
465.2353,1.9800,1.0000,0,28,55
476.4826,1.9800,1.0000,0,28,55
488.0017,1.9800,1.0000,0,28,55
499.7993,1.9800,1.0000,0,28,55
511.8822,1.9800,1.0000,0,28,55
524.2571,1.9800,1.0000,0,28,55
536.9313,1.9800,1.0000,0,28,54
549.9118,1.9800,1.0000,0,28,54
563.2061,1.9800,1.0000,0,28,54
576.8218,1.9800,1.0000,0,28,54
590.7667,1.9800,1.0000,0,28,54
605.0487,1.9800,1.0000,0,28,54
619.6760,1.9800,1.0000,0,28,54
634.6569,1.9800,1.0000,0,28,54
650.0000,1.9800,1.0000,0,28,54
250.0000,1.9820,1.0000,0,27,55
256.0438,1.9820,1.0000,0,27,55
262.2338,1.9820,1.0000,0,27,55
268.5734,1.9820,1.0000,0,27,55
