sheet,eps,s,fitness
p,0.800000,0.180000,6.6558
p,0.820000,0.180000,6.3453
p,0.840000,0.180000,6.3333
p,0.860000,0.180000,6.3217
p,0.880000,0.180000,6.3105
p,0.890000,0.180000,6.3051
p,0.900000,0.180000,6.2998
p,0.920000,0.180000,6.2895
p,0.940000,0.180000,6.2795
p,0.960000,0.180000,6.2699
p,0.980000,0.180000,6.2607
p,1.000000,0.180000,6.2518
p,1.020000,0.180000,6.2433
p,1.040000,0.180000,6.2350
p,1.060000,0.180000,6.2271
p,1.080000,0.180000,6.2194
p,1.100000,0.180000,6.2121
p,1.120000,0.180000,6.2050
p,1.140000,0.180000,6.1981
p,1.160000,0.180000,6.1915
p,1.180000,0.180000,6.1852
p,1.200000,0.180000,6.1790
p,0.400000,0.200000,7.9905
p,0.420000,0.200000,8.4981
p,0.440000,0.200000,8.5778
p,0.460000,0.200000,8.3544
p,0.480000,0.200000,8.5342
p,0.500000,0.200000,9.0947
p,0.520000,0.200000,10.2783
p,0.540000,0.200000,11.8068
p,0.550000,0.200000,11.0735
p,0.560000,0.200000,10.1663
p,0.580000,0.200000,8.8158
p,0.600000,0.200000,8.2809
p,0.620000,0.200000,7.9960
p,0.640000,0.200000,7.6879
p,0.660000,0.200000,7.6022
p,0.680000,0.200000,7.8876
p,0.700000,0.200000,7.4016
p,0.720000,0.200000,7.0572
p,0.730000,0.200000,7.2268
p,0.740000,0.200000,7.4327
p,0.760000,0.200000,7.3240
p,0.780000,0.200000,6.8009
p,0.800000,0.200000,6.4305
p,0.800000,0.200000,6.4305
p,0.820000,0.200000,6.3841
p,0.840000,0.200000,6.3726
p,0.860000,0.200000,6.3616
p,0.880000,0.200000,6.3510
p,0.890000,0.200000,6.3458
p,0.900000,0.200000,6.3408
p,0.920000,0.200000,6.3309
p,0.940000,0.200000,6.3215
p,0.960000,0.200000,6.3123
p,0.980000,0.200000,6.3036
p,1.000000,0.200000,6.2951
p,1.020000,0.200000,6.2869
p,1.040000,0.200000,6.2791
p,1.060000,0.200000,6.2715
p,1.080000,0.200000,6.2643
p,1.100000,0.200000,6.2572
p,1.120000,0.200000,6.2505
p,1.140000,0.200000,6.2440
p,1.160000,0.200000,6.2377
p,1.180000,0.200000,6.2316
p,1.200000,0.200000,6.2258
p,0.400000,0.220000,8.3134
p,0.420000,0.220000,8.1206
p,0.440000,0.220000,7.8490
p,0.460000,0.220000,7.5857
p,0.480000,0.220000,8.0108
p,0.500000,0.220000,8.8383
p,0.520000,0.220000,10.3842
p,0.540000,0.220000,10.8913
p,0.550000,0.220000,9.3111
p,0.560000,0.220000,8.5859
p,0.580000,0.220000,8.3928
p,0.600000,0.220000,7.6384
p,0.620000,0.220000,7.8038
p,0.640000,0.220000,7.9678
p,0.660000,0.220000,8.4154
p,0.680000,0.220000,8.3977
p,0.700000,0.220000,7.6189
p,0.720000,0.220000,7.6316
p,0.730000,0.220000,7.7511
p,0.740000,0.220000,7.5969
p,0.760000,0.220000,6.9882
p,0.780000,0.220000,6.5314
p,0.800000,0.220000,6.4597
p,0.800000,0.220000,6.4597
p,0.820000,0.220000,6.4236
p,0.840000,0.220000,6.4127
p,0.860000,0.220000,6.4023
p,0.880000,0.220000,6.3922
p,0.890000,0.220000,6.3873
p,0.900000,0.220000,6.3825
p,0.920000,0.220000,6.3732
p,0.940000,0.220000,6.3642
p,0.960000,0.220000,6.3556
p,0.980000,0.220000,6.3472
p,1.000000,0.220000,6.3392
p,1.020000,0.220000,6.3315
p,1.040000,0.220000,6.3241
p,1.060000,0.220000,6.3169
p,1.080000,0.220000,6.3100
p,1.100000,0.220000,6.3033
p,1.120000,0.220000,6.2969
p,1.140000,0.220000,6.2907
p,1.160000,0.220000,6.2848
p,1.180000,0.220000,6.2790
p,1.200000,0.220000,6.2735
p,0.400000,0.240000,7.7487
p,0.420000,0.240000,7.4267
p,0.440000,0.240000,7.1990
p,0.460000,0.240000,7.1790
p,0.480000,0.240000,7.8417
p,0.500000,0.240000,8.8045
p,0.520000,0.240000,10.7761
p,0.540000,0.240000,9.9369
p,0.550000,0.240000,8.5480
p,0.560000,0.240000,7.9488
p,0.580000,0.240000,8.3848
p,0.600000,0.240000,7.2729
p,0.620000,0.240000,7.2909
p,0.640000,0.240000,7.6666
p,0.660000,0.240000,8.4712
p,0.680000,0.240000,8.2087
p,0.700000,0.240000,8.2276
p,0.720000,0.240000,8.5267
p,0.730000,0.240000,8.1939
p,0.740000,0.240000,7.8195
p,0.760000,0.240000,7.0745
p,0.780000,0.240000,6.8183
p,0.800000,0.240000,6.5838
p,0.800000,0.240000,6.5838
p,0.820000,0.240000,6.4638
p,0.840000,0.240000,6.4535
p,0.860000,0.240000,6.4437
p,0.880000,0.240000,6.4342
p,0.890000,0.240000,6.4296
p,0.900000,0.240000,6.4251
p,0.920000,0.240000,6.4163
p,0.940000,0.240000,6.4078
p,0.960000,0.240000,6.3996
p,0.980000,0.240000,6.3918
p,1.000000,0.240000,6.3842
p,1.020000,0.240000,6.3769
p,1.040000,0.240000,6.3699
p,1.060000,0.240000,6.3632
p,1.080000,0.240000,6.3566
p,1.100000,0.240000,6.3504
p,1.120000,0.240000,6.3443
p,1.140000,0.240000,6.3385
p,1.160000,0.240000,6.3328
p,1.180000,0.240000,6.3274
p,1.200000,0.240000,6.3222
p,0.400000,0.260000,7.0922
p,0.420000,0.260000,6.9534
p,0.440000,0.260000,6.9008
p,0.460000,0.260000,6.9221
p,0.480000,0.260000,7.8154
p,0.500000,0.260000,9.0811
p,0.520000,0.260000,11.2485
p,0.540000,0.260000,9.0223
p,0.550000,0.260000,7.9976
p,0.560000,0.260000,7.6410
p,0.580000,0.260000,7.9819
p,0.600000,0.260000,7.5676
p,0.620000,0.260000,7.0562
p,0.640000,0.260000,7.5264
p,0.660000,0.260000,7.8174
p,0.680000,0.260000,7.4833
p,0.700000,0.260000,8.0453
p,0.720000,0.260000,8.0672
p,0.730000,0.260000,7.8553
p,0.740000,0.260000,7.6492
p,0.760000,0.260000,7.6124
p,0.780000,0.260000,7.3999
p,0.800000,0.260000,7.1954
p,0.800000,0.260000,7.1954
p,0.820000,0.260000,7.0453
p,0.840000,0.260000,6.8942
p,0.860000,0.260000,6.7488
p,0.880000,0.260000,6.6088
p,0.890000,0.260000,6.5408
p,0.900000,0.260000,6.4741
p,0.920000,0.260000,6.4602
p,0.940000,0.260000,6.4522
p,0.960000,0.260000,6.4446
p,0.980000,0.260000,6.4372
p,1.000000,0.260000,6.4301
p,1.020000,0.260000,6.4233
p,1.040000,0.260000,6.4167
p,1.060000,0.260000,6.4103
p,1.080000,0.260000,6.4042
p,1.100000,0.260000,6.3983
p,1.120000,0.260000,6.3926
p,1.140000,0.260000,6.3872
p,1.160000,0.260000,6.3819
p,1.180000,0.260000,6.3768
p,1.200000,0.260000,6.3719
p,0.400000,0.280000,6.7413
p,0.420000,0.280000,6.6691
p,0.440000,0.280000,6.6642
p,0.460000,0.280000,6.9639
