eps_e,s_e,fitness,n_ghosts,n_sub_electron
465.2353,1.9700,1.0000,9,1
476.4826,1.9700,1.0000,9,1
488.0017,1.9700,1.0000,9,1
499.7993,1.9700,1.0000,9,1
511.8822,1.9700,1.0000,9,1
524.2571,1.9700,1.0000,9,1
536.9313,1.9700,1.0000,9,0
549.9118,1.9700,1.0000,9,1
563.2061,1.9700,1.0000,9,1
576.8218,1.9700,1.0000,9,1
590.7667,1.9700,1.0000,9,0
605.0487,1.9700,1.0000,9,1
619.6760,1.9700,1.0000,9,0
634.6569,1.9700,1.0000,9,1
650.0000,1.9700,1.0000,9,0
250.0000,1.9720,1.0000,9,0
256.0438,1.9720,1.0000,9,1
262.2338,1.9720,1.0000,9,0
268.5734,1.9720,1.0000,9,1
275.0663,1.9720,1.0000,9,1
281.7161,1.9720,1.0000,9,0
288.5267,1.9720,1.0000,9,1
295.5019,1.9720,1.0000,9,1
302.6458,1.9720,1.0000,9,1
309.9624,1.9720,1.0000,9,0
317.4559,1.9720,1.0000,9,0
325.1305,1.9720,1.0000,9,1
332.9906,1.9720,1.0000,9,1
341.0408,1.9720,1.0000,9,0
349.2856,1.9720,1.0000,9,1
357.7297,1.9720,1.0000,9,1
366.3780,1.9720,1.0000,9,1
375.2353,1.9720,1.0000,9,1
384.3068,1.9720,1.0000,9,1
393.5975,1.9720,1.0000,9,1
403.1129,1.9720,1.0000,9,1
412.8583,1.9720,1.0000,9,0
422.8393,1.9720,1.0000,9,0
433.0616,1.9720,1.0000,9,0
443.5310,1.9720,1.0000,9,0
454.2536,1.9720,1.0000,9,0
465.2353,1.9720,1.0000,9,0
476.4826,1.9720,1.0000,9,0
488.0017,1.9720,1.0000,9,1
499.7993,1.9720,1.0000,9,0
511.8822,1.9720,1.0000,9,1
524.2571,1.9720,1.0000,9,0
536.9313,1.9720,1.0000,9,0
549.9118,1.9720,1.0000,9,1
563.2061,1.9720,1.0000,9,0
576.8218,1.9720,1.0000,9,0
590.7667,1.9720,1.0000,9,1
605.0487,1.9720,1.0000,9,1
619.6760,1.9720,1.0000,9,0
634.6569,1.9720,1.0000,9,1
650.0000,1.9720,1.0000,9,1
250.0000,1.9740,1.0000,8,1
256.0438,1.9740,1.0000,8,1
262.2338,1.9740,1.0000,8,1
268.5734,1.9740,1.0000,8,0
275.0663,1.9740,1.0000,8,1
281.7161,1.9740,1.0000,8,1
288.5267,1.9740,1.0000,8,0
295.5019,1.9740,1.0000,8,0
302.6458,1.9740,1.0000,8,1
309.9624,1.9740,1.0000,8,0
317.4559,1.9740,1.0000,8,0
325.1305,1.9740,1.0000,8,1
332.9906,1.9740,1.0000,8,0
341.0408,1.9740,1.0000,8,0
349.2856,1.9740,1.0000,8,1
357.7297,1.9740,1.0000,8,1
366.3780,1.9740,1.0000,8,1
375.2353,1.9740,1.0000,8,0
384.3068,1.9740,1.0000,8,0
393.5975,1.9740,1.0000,8,1
403.1129,1.9740,1.0000,8,1
412.8583,1.9740,1.0000,8,1
422.8393,1.9740,1.0000,8,0
433.0616,1.9740,1.0000,8,0
443.5310,1.9740,1.0000,8,1
454.2536,1.9740,1.0000,8,1
465.2353,1.9740,1.0000,8,0
476.4826,1.9740,1.0000,8,1
488.0017,1.9740,1.0000,8,0
499.7993,1.9740,1.0000,8,0
511.8822,1.9740,1.0000,8,0
524.2571,1.9740,1.0000,8,0
536.9313,1.9740,1.0000,8,1
549.9118,1.9740,1.0000,8,1
