name,Z,A,m_obs,m_Ma,E_Coul,E_Surf,m_total,B_obs,B_pred,ratio,B_per_A_obs,B_per_A_pred,rel_err
169Tm,69,169,157325.9687432352,155480.7967506355,602.5421747613781,560.6052162463828,156643.94414164327,1371.3473918048257,2053.3719933967513,1.4973390445540684,8.114481608312579,12.150130138442316,0.4973390445540683
174Yb,70,174,161987.25830672026,160082.77947852755,614.2649427714643,571.6086999605126,161268.65312125953,1406.591598559724,2125.1967840204597,1.5108840307282867,8.083859761837493,12.21377462080724,0.5108840307282866
175Lu,71,175,162920.02130912122,161001.66652062,630.8634808590516,573.7966791784867,162206.32668065754,1412.1006843187497,2125.7953127824294,1.50541341448892,8.069146767535713,12.147401787328167,0.50541341448892
180Hf,72,180,167582.36690747022,165603.66384291774,642.8234216699452,584.6747447642725,166831.16200935197,1446.2888562097796,2197.493754328025,1.5194017051938657,8.03493809005433,12.208298635155693,0.5194017051938657
181Ta,73,181,168514.69471582645,166522.54263557759,659.7116908013736,586.8382066592684,167769.09253303823,1452.2331360135286,2197.83531880175,1.5134176905196823,8.023387491787451,12.14273656796547,0.5134176905196822
184W,74,184,171311.39334571894,169282.98287842394,674.3318212795222,593.3048247172469,170550.6195244207,1472.9374353210442,2233.711256619281,1.5165011106750892,8.005094757179588,12.139735090322178,0.5165011106750892
187Re,75,187,174109.85371040733,172043.4244846774,689.0818267057298,599.7363916339136,173332.24270301705,1491.8799998326576,2269.4910072229395,1.521228924228159,7.9779679135436234,12.136315546646735,0.5212289242281588
192Os,76,192,178772.15124366066,176645.44777899462,701.5082693242546,610.3797970363506,177957.33584535524,1526.1162368193618,2340.9316351247835,1.5339143760134615,7.948522066767509,12.192352266274915,0.5339143760134616
193Ir,77,193,179704.4765369828,177564.31153305652,718.9691070340034,612.4973358427357,178895.77797593325,1532.0630316571915,2340.7615927067527,1.5278494058921412,7.938150423094256,12.128298407807009,0.5278494058921412
195Pt,78,195,181568.69572999378,179403.9691631609,735.3579739793008,616.7214762566479,180756.04861339682,1545.68134732623,2358.328463923186,1.5257533307254432,7.926571011929385,12.093992122683005,0.5257533307254432
197Au,79,197,183432.82820090378,181243.6279995824,751.8963339299007,620.9311995286998,182616.455533041,1559.386385096208,2375.7590529589797,1.5235217362837272,7.915666929422375,12.059690624157257,0.5235217362837273
202Hg,80,202,188093.5832730729,185845.65084066847,764.759658366124,631.3937001149518,187241.80419914954,1595.165083167085,2446.9441570904455,1.5339755006624234,7.896856847361807,12.113584936091314,0.5339755006624235
205Tl,81,205,190891.0789824688,188606.09940132964,780.2768719105748,637.6297503308526,190024.00602357107,1615.0723029711808,2482.145261868922,1.5368632458761278,7.878401477908199,12.108025667653276,0.5368632458761279
208Pb,82,208,193687.12333090376,191366.54894776127,795.9200436230809,643.8354536029447,192806.3044449873,1636.4308837362332,2517.249769652699,1.5382560880942404,7.867456171808813,12.102162354099514,0.5382560880942404
209Bi,83,209,194621.59637017787,192285.4066027123,814.2695568664917,645.8973787922573,193745.57353837104,1640.229932622111,2516.2527644289366,1.5340853830209003,7.847990108239765,12.039486911143237,0.5340853830209004
232Th,90,232,216096.09060920286,213450.17621748682,925.5393116447948,692.4546264935035,215068.17015562512,1766.6870390371187,2794.6074926148576,1.5818350567274082,7.615030340677236,12.04572195092611,0.5818350567274083
235U,92,235,218895.02260806988,216208.65809282823,963.2335796796217,698.411271148833,217870.3029436567,1783.8646370101196,2808.5843014233105,1.5744380168501417,7.590913348979233,11.95142255924813,0.5744380168501416
238U,92,238,221695.89343722214,218971.09042757686,959.1692546303799,704.3426214344996,220634.60230364173,1801.6900694178476,2862.981202998257,1.5890531071880347,7.570126342091797,12.029332785706961,0.5890531071880348
