sigma_pS_tube,signature_ok,alpha_ratio_electron,alpha_ratio_muon,alpha_ratio_R64 proton,alpha_ratio_R64 neutron,alpha_ratio_R64 deuteron,alpha_ratio_R64 pp,alpha_ratio_R64 nn,alpha_ratio_π⁰,alpha_ratio_π±,alpha_ratio_K±,alpha_ratio_ρ
-0.2925,0,0.5526219089178208,0.5526219089178206,0.24020244112342926,0.25885145581487634,0.9977592270685813,0.960809764493717,1.0354058232595054,2.210487635671283,8.841950542685133,4.994437412395182,4.994437412395182
-0.29000000000000004,0,0.5515193932413283,0.5515193932413279,0.2501945946215332,0.2692763842688829,1.0385913726462592,1.0007783784861328,1.0771055370755316,2.206077572965312,8.824310291861252,4.98455424608593,4.98455424608593
-0.2875,0,0.5503824986010208,0.5503824986010202,0.2607223553971242,0.28025315902006065,1.081598354212897,1.0428894215884967,1.1210126360802426,2.2015299944040816,8.806119977616326,4.974362815712293,4.974362815712293
-0.28500000000000003,0,0.5492097273780773,0.549209727378077,0.27182142481490007,0.2918183403473346,1.1269246915017628,1.0872856992596003,1.1672733613893385,2.1968389095123086,8.787355638049236,4.963849687998947,4.963849687998947
-0.2825,0,0.5479994969296681,0.5479994969296679,0.28353038152028337,0.3040114249899459,1.1747265314952187,1.1341215260811335,1.2160456999597835,2.191997987718672,8.767991950874688,4.953000666705947,4.953000666705947
-0.28,0,0.5467501335802446,0.5467501335802443,0.29589095574227264,0.31687512550178615,1.225172755720019,1.1835638229690906,1.2675005020071446,2.1870005343209775,8.748002137283914,4.941800738682727,4.941800738682727
-0.27749999999999997,0,0.5454598661013502,0.54545986610135,0.308948333995881,0.3304556805216798,1.2784462101718013,1.235793335983524,1.3218227220867191,2.1818394644054004,8.727357857621602,4.930234015327451,4.930234015327451
-0.275,0,0.5441268186288106,0.5441268186288103,0.32275149804571135,0.3448031998828479,1.3347450734381108,1.2910059921828454,1.3792127995313916,2.1765072745152416,8.706029098060966,4.91828366899189,4.91828366899189
-0.27249999999999996,0,0.5427490029602431,0.542749002960243,0.3373536025479575,0.3599720490490221,1.3942843808292278,1.34941441019183,1.4398881961960883,2.1709960118409724,8.68398404736389,4.905931863818979,4.905931863818979
-0.27,0,0.5413243101691777,0.5413243101691773,0.3528123964335668,0.3760212780198894,1.4572977249273547,1.4112495857342673,1.5040851120795575,2.16529724067671,8.661188962706843,4.893159680440159,4.893159680440159
-0.26749999999999996,0,0.5398505014645186,0.5398505014645182,0.36919069384665043,0.39301510061123096,1.5240391559927289,1.4767627753866017,1.5720604024449238,2.1594020058580736,8.637608023432296,4.87994703389178,4.87994703389178
-0.265,0,0.5383251982155257,0.5383251982155259,0.38655690132869336,0.4110234309047393,1.5947853091973858,1.5462276053147734,1.6440937236189572,2.1533007928621033,8.613203171448413,4.866272584032699,4.866272584032699
-0.26249999999999996,0,0.5367458710527414,0.5367458710527412,0.4049856089640888,0.4301224847027484,1.6698377897876582,1.6199424358563552,1.7204899388109935,2.146983484210965,8.58793393684386,4.852113637657583,4.852113637657583
-0.26,0,0.5351098279442404,0.5351098279442402,0.4245582544038066,0.45039545504224954,1.7495258521173072,1.6982330176152265,1.8015818201689981,2.1404393117769613,8.561757247107845,4.837446041400874,4.837446041400874
-0.2575,0,0.5334142011339233,0.5334142011339233,0.44536387009562717,0.4719332722550173,1.8342094141812442,1.7814554803825087,1.8877330890200692,2.1336568045356934,8.534627218142774,4.82224406441244,4.82224406441244
-0.255,0,0.5316559328141576,0.5316559328141572,0.46749992571217414,0.49483546074790746,1.9242824559798057,1.8699997028486965,1.9793418429916299,2.1266237312566294,8.506494925026518,4.806480269656176,4.806480269656176
-0.2525,0,0.5298317593885592,0.5298317593885592,0.4910732797320009,0.5192111066701214,2.0201768579569475,1.9642931189280035,2.0768444266804855,2.119327037554237,8.477308150216947,4.790125372534106,4.790125372534106
-0.25,0,0.527938194161784,0.527938194161784,0.5162012564549358,0.5451799529939906,2.1223667451270347,2.064805025819743,2.1807198119759623,2.111752776647136,8.447011106588544,4.773148085367993,4.773148085367993
-0.2475,0,0.525971508271423,0.5259715082714227,0.5430128674953005,0.5728736413382078,2.2313734136343397,2.172051469981202,2.2914945653528314,2.103886033085691,8.415544132342768,4.7555149460745225,4.7555149460745225
-0.245,0,0.5239277096521135,0.5239277096521133,0.5716502000869411,0.6024371232001111,2.34777092974519,2.2866008003477645,2.4097484928004445,2.0957108386084538,8.382843354433815,4.73719012914478,4.73719012914478
-0.2425,0,0.5218025197930602,0.52180251979306,0.6022699984648168,0.634030267250695,2.4721925071083013,2.409079993859267,2.53612106900278,2.0872100791722406,8.348840316688962,4.718135236778296,4.718135236778296
-0.24,0,0.5195913480168469,0.5195913480168467,0.6350454692986883,0.667829694123925,2.6053377870959804,2.5401818771947533,2.6713187764957,2.0783653920673872,8.31346156826955,4.698309067721606,4.698309067721606
-0.2375,0,0.5172892629687551,0.5172892629687548,0.6701683478180753,0.7040308758757979,2.7479811698535914,2.6806733912723013,2.8161235035031917,2.06915705187502,8.27662820750008,4.677667361012666,4.677667361012666
-0.235,0,0.5148909609609986,0.5148909609609982,0.7078512680997555,0.7428505442170092,2.9009813712054693,2.831405072399022,2.971402176868037,2.059563843843993,8.238255375375976,4.656162511428368,4.656162511428368
-0.23249999999999998,0,0.5123907307641457,0.5123907307641457,0.7483304892595006,0.7845294600094785,3.065292413878608,2.9933219570380025,3.138117840037914,2.0495629230565826,8.19825169222633,4.63374325296216,4.63374325296216
-0.22999999999999998,0,0.5097824143772222,0.5097824143772216,0.7918690393372115,0.829335606704642,3.241976301975346,3.167476157348846,3.317342426818568,2.0391296575088873,8.156518630035551,4.61035430611028,4.61035430611028
