name,Z,A,atomic_u,m_obs_MeV,m_pred_MeV,delta_m,delta_m_over_m,B_obs_MeV,B_pred_MeV,B_per_A_obs,B_per_A_pred
114Cd,48,114,113.90336509,106075.78487752711,106924.75296623957,848.9680887124559,0.008003410860383043,972.5931084728945,123.62501976043859,8.531518495376268,1.084429997898584
115In,49,115,114.903878,107007.24575363718,107861.54583644088,854.3000828037038,0.007983572297249471,979.4043205228081,125.10423771910428,8.516559308893983,1.0878629366878634
120Sn,50,120,119.90220163,111662.64373801871,112553.43320573204,890.7894677133299,0.007977506513308849,1020.5401063812897,129.75063866795972,8.504500886510748,1.0812553222329977
130Te,52,130,129.90622275,120980.30841388383,121937.45945022552,957.1510363416892,0.007911626684461695,1095.942970996155,138.79193465446588,8.430330546124269,1.0676302665728143
127I,53,127,126.9044719,118183.68420122462,119118.88066311527,935.1964618906495,0.007913075888701725,1072.5775897353597,137.38112784471014,8.445492832561888,1.081741164131576
132Xe,54,132,131.90415509,122840.34860772801,123810.8469115222,970.4983037941856,0.007900484773885856,1112.4469534719829,141.94864967779722,8.42762843539381,1.0753685581651304
133Cs,55,133,132.90545196,123772.53973795463,124747.57622618042,975.0364882257854,0.007877647903889558,1118.5279114053556,143.49142317957012,8.409984296280868,1.0788828810493993
138Ba,56,138,137.905247,128429.3083320734,129439.57574866258,1010.2674165891804,0.007866330744201948,1158.2930875265884,148.025670937408,8.393428170482524,1.0726497894015072
139La,57,139,138.9063635,129361.33144870875,130376.2873149347,1014.9558662259515,0.007845898421572581,1164.5420590512513,149.5861928252998,8.378000424829146,1.0761596606136676
140Ce,58,140,139.9054431,130291.4572050069,131313.0211633266,1021.5639583197044,0.007840605825079738,1172.6883909130847,151.12443259338033,8.376345649379177,1.0794602328098595
141Pr,59,141,140.9076576,131224.5031021667,132249.77682036106,1025.2737181943667,0.007813127075788013,1177.9145819132973,152.64086371893063,8.354004127044663,1.0825593171555363
142Nd,60,142,141.907729,132155.5527143156,133186.55382587077,1031.0011115551752,0.007801421055564116,1185.1370579244103,154.13594636923517,8.346035619185988,1.085464411050952
152Sm,62,152,151.9197397,141480.65963683155,142570.44967091846,1089.7900340869091,0.0077027491735217,1253.0976758884499,163.30764180154074,8.244063657160854,1.0743923802732944
153Eu,63,153,152.921238,142413.0383979152,143507.1712030853,1094.132805170113,0.0076828134381418415,1258.9910029647872,164.8581977946742,8.228699365782923,1.0775045607495046
158Gd,64,158,157.9241123,147072.67530456377,148199.18228283682,1126.5069782730425,0.007659525985640965,1295.8878665562079,169.3808882831654,8.201821940229165,1.072030938501047
159Tb,65,159,158.9253547,148004.81569630664,149135.8885691823,1131.0728728756658,0.0076421356126447374,1302.0195629733498,170.94669009768404,8.188802282851256,1.0751364157087047
164Dy,66,164,163.9291819,152665.34022368543,153827.92534218743,1162.5851185020001,0.007615252530787794,1338.0288058345614,175.44368733256124,8.158712230698544,1.0697785812961051
165Ho,67,165,164.9303288,153597.39165774148,154764.61742844846,1167.2257707069803,0.007599255157326435,1344.2494599385245,177.02368923154427,8.146966423869845,1.072870843827541
166Er,68,166,165.9302995,154528.34746843425,155701.32854104883,1172.9810726145806,0.007590717766875668,1351.5657374057337,178.58466479115305,8.141962273528517,1.0758112336816448
169Tm,69,169,168.9342179,157325.9687432352,158515.6898967874,1189.7211535522074,0.007562140967928181,1371.3473918048257,181.62623825261835,8.114481608312579,1.0747114689504045
