config,sigma_t,r_fm,E_strong_MeV,E_coulomb_MeV,E_total_MeV
pp (two protons),-116.1,1.735195333010837,-28.638544954056897,0.8298573192404738,-27.808687634816422
pp (two protons),-116.1,1.758380188507893,-28.439984940027898,0.8189153613206163,-27.62106957870728
pp (two protons),-116.1,1.7818748290269535,-28.239294019093677,0.8081176769286822,-27.431176342164996
pp (two protons),-116.1,1.805683393768277,-28.036626202663,0.7974623637679334,-27.239163838895067
pp (two protons),-116.1,1.8298100772381478,-27.83213014723856,0.7869475446240777,-27.04518260261448
pp (two protons),-116.1,1.8542591299878524,-27.625949311340946,0.776571367034546,-26.8493779443064
pp (two protons),-116.1,1.8790348593625212,-27.418222108226928,0.7663320029621349,-26.651890105264794
pp (two protons),-116.1,1.9041416302599845,-27.209082054503142,0.7562276484729483,-26.452854406030195
pp (two protons),-116.1,1.9295838658997624,-26.998657914733712,0.7462565234185874,-26.252401391315125
pp (two protons),-116.1,1.9553660486023348,-26.78707384213908,0.7364168711225291,-26.05065697101655
pp (two protons),-116.1,1.9814927205788155,-26.574449515487004,0.7267069580706433,-25.84774255741636
pp (two protons),-116.1,2.0079684847311854,-26.360900272262825,0.7171250736057883,-25.643775198657035
pp (two protons),-116.1,2.0347980054632147,-26.146537238216297,0.7076695296264316,-25.438867708589864
pp (two protons),-116.1,2.061986009502219,-25.931467453372534,0.698338660289249,-25.233128793083285
pp (two protons),-116.1,2.089537286731802,-25.715793994598243,0.6891308217156394,-25.026663172882603
pp (two protons),-116.1,2.117456691035712,-25.499616094806242,0.6800443917021152,-24.819571703104128
pp (two protons),-116.1,2.1457491411529865,-25.283029258885563,0.6710777694345066,-24.611951489451055
pp (two protons),-116.1,2.1744196215445166,-25.06612537644105,0.6622293752059366,-24.403896001235115
pp (two protons),-116.1,2.203473183271194,-24.848992831419082,0.653497650138513,-24.19549518128057
pp (two protons),-116.1,2.232914944883782,-24.6317166087033,0.644881055908693,-23.986835552794606
pp (two protons),-116.1,2.2627500933246885,-24.414378397758128,0.636378074476265,-23.778000323281862
pp (two protons),-116.1,2.2929838848417816,-24.197056693389413,0.6279872078169069,-23.569069485572506
pp (two protons),-116.1,2.323621645914414,-23.979826893707013,0.6197069776582691,-23.360119916048745
pp (two protons),-116.1,2.3546687741918273,-23.762761395351845,0.6115359252195379,-23.151225470132307
pp (two protons),-116.1,2.3861307394440856,-23.54592968606312,0.603472610954433,-22.942457075108685
pp (two protons),-116.1,2.4180130845257204,-23.329398434655786,0.5955156142975939,-22.733882820358193
pp (two protons),-116.1,2.4503214263522524,-23.113231578474142,0.5876635334143091,-22.525568045059835
pp (two protons),-116.1,2.483061456889761,-22.897490408384783,0.5799149849535454,-22.317575423431236
pp (two protons),-116.1,2.5162389441576676,-22.682233651380784,0.5722686038042364,-22.109965047576548
pp (two protons),-116.1,2.54985973324493,-22.467517550852563,0.5647230428547799,-21.902794507997783
pp (two protons),-116.1,2.5839297473398064,-22.25339594459092,0.5572769727557102,-21.69611897183521
