config,sigma_aS,sigma_at,sigma_eff,r_fm,V_MeV
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.4713753134116724,162.26792241447356
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.482410870416537,154.4856593261054
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.49370478528390027,147.0275251358246
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.5052631065335681,139.8810445943734
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.5170920242896758,133.03414556581242
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.5291978735958442,126.47515153983909
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.5415871378079472,120.19277389187164
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.5542664520663105,114.17610392106826
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.5672426068491979,108.4146046960791
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.5805225516094898,102.89810273773469
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.5941133984965034,97.61677956709445
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.6080224261649424,92.5611631463546
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.622257083673023,87.72211923904456
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.6368249944718588,83.0908427147724
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.6517339604882424,78.6588488225184
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.6669919663030122,74.41796445515774
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.6826071834272389,70.36031942651357
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.6985879746785247,66.47833778085464
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.7149428986597579,62.76472915332579
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.7316807143427196,59.21248019839709
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.7488103857590023,55.81484610201278
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.7663410868007459,52.56534219174182
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.784282206133768,49.45773565789318
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.8026433522257176,46.48603739724149
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.8214343584919426,43.64449398976649
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.8406652885618325,40.927579817579044
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.8603464416684504,38.32998933407475
pn (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.8804883581643462,35.84662949024096
