sigma_pS_tube,sigma_aS,sigma_eff,config,r_fm,V_MeV
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.6266030164072655,102.37462391885856
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.6375456372456506,98.96945003489327
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.6486793534788511,95.67472992129069
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.6600075022827095,92.487050041575
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.6715334791115144,89.40309215567981
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.6832607387157402,86.41963126359997
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.6951927961775606,83.53353355784225
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.7073332279644442,80.74175438697239
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.7196856730011519,78.04133623242569
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.7322538337604534,75.42940670060466
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.7450414773728913,72.90317653215129
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.7580524367559262,70.4599376301494
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.7712906117627994,68.09706110888146
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.7847599703514611,65.81199536463328
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.7984645497739087,63.60226416991895
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.812408457786297,61.46546479237827
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.8265958738801811,59.399266139477504
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.8410310505352605,57.401406930037865
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.8557183144940006,55.469693893506474
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.8706620680585127,53.60199999777842
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.8858667904100825,51.79626270628205
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.9013370389517434,50.05048226494796
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.9170774506742931,48.362720019583094
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.9330927435461668,46.73109676409922
