sigma_pS_tube,signature_ok,alpha_ratio_electron,alpha_ratio_muon,alpha_ratio_proton,alpha_ratio_neutron,alpha_ratio_Λ,alpha_ratio_Σ⁻,alpha_ratio_π⁰,alpha_ratio_π±,alpha_ratio_K±,alpha_ratio_ρ
0.13,0,0.7105469631167547,0.7105469631167547,2.216886595237505,1.3498527845375907,17.694641631811123,4.946193938189097,2.8421878524670188,11.368751409868075,10.221291599225484,10.221291599225484
0.13250000000000006,0,0.7155650574563511,0.7155650574563511,2.189429917437849,1.2564954655654672,17.18799826564142,4.843736551956025,2.8622602298254045,11.449040919301618,10.197469198638705,10.197469198638705
0.135,0,0.7201509094536042,0.7201509094536039,2.164571171331751,1.1743761926029788,16.732949790035217,4.751351180759681,2.8806036378144158,11.522414551257667,10.175795804870331,10.175795804870331
0.13750000000000007,0,0.7243558856234388,0.7243558856234388,2.141970663729514,1.1017345185938547,16.322307369013384,4.6676751618625785,2.897423542493755,11.58969416997502,10.156003137573556,10.156003137573556
0.14,0,0.7282236208258709,0.7282236208258702,2.1213448323241635,1.0371436085706809,15.950135005931326,4.5915777059452925,2.912894483303482,11.651577933213929,10.1378653808948,10.1378653808948
0.14249999999999996,0,0.7317914135912829,0.7317914135912829,2.1024551638845432,0.9794369681185023,15.611490934124767,4.522112955756351,2.9271656543651314,11.708662617460526,10.121191123392205,10.121191123392205
0.14500000000000002,0,0.7350913305272483,0.7350913305272477,2.0850996310668757,0.927653304950567,15.302230034079669,4.458483945795355,2.9403653221089923,11.761461288435973,10.105817065139146,10.105817065139146
0.14749999999999996,0,0.7381510880682463,0.7381510880682457,2.0691060057335293,0.8809945669343695,15.018851211223007,4.400014631459947,2.9526043522729837,11.810417409091935,10.091603056054467,10.091603056054467
0.15000000000000002,0,0.740994762147713,0.740994762147713,2.0543265868765426,0.8387936743556248,14.758378304096079,4.346127963857193,2.963979048590852,11.855916194363408,10.078428148211744,10.078428148211744
0.15249999999999997,0,0.7436433636729217,0.7436433636729217,2.0406340065622324,0.8004894668052223,14.518266281763754,4.296328544638982,2.974573454691687,11.898293818766748,10.06618742842514,10.06618742842514
0.15500000000000003,0,0.7461153084568941,0.7461153084568941,2.0279178656883343,0.7656070767940225,14.296326714979102,4.250188786430862,2.9844612338275764,11.937844935310306,10.05478945699562,10.05478945699562
0.15749999999999997,0,0.7484268034852569,0.7484268034852564,2.016082014479391,0.7337424259044023,14.09066807972028,4.207337782259206,2.993707213941027,11.974828855764107,10.04415418152502,10.04415418152502
0.16000000000000003,0,0.75059216636853,0.75059216636853,2.0050423382939466,0.7045498817890031,13.899647578839012,4.16745228712908,3.00236866547412,12.00947466189648,10.034211226129308,10.034211226129308
