name,Z,A,m_obs_MeV,m_Ma_MeV,E_Coulomb_MeV,m_total_MeV,B_obs_MeV,B_pred_MeV,B_per_A_obs,B_per_A_pred,rel_err_mass,rel_err_binding
59Co,27,59,54882.12594625702,54892.33789606581,128.02991494360174,55020.36781100941,517.3138907029715,379.07202595058334,8.768032045813078,6.424949592382768,0.0025188868391825907,-0.26723014254369437
60Ni,28,60,55810.86563001581,55820.578950856805,137.1080836438545,55957.68703450066,526.8462951041874,380.0248906193374,8.780771585069791,6.333748176988957,0.002630695704635113,-0.2786797702654721
63Cu,29,63,58603.73017429308,58613.146889275165,144.8885929199266,58758.03548219509,551.3846800269166,397.0793721249065,8.752137778205025,6.302847176585818,0.0026330287755248925,-0.2798505535091716
64Zn,30,64,59534.28878658566,59541.47701834554,154.425,59695.90201834554,559.0981558943386,397.4849241344564,8.73590868584904,6.210701939600881,0.0027146243795608603,-0.28906057023451304
70Ge,32,70,65117.673360374065,65126.64742197312,170.8981419055646,65297.54556387868,610.5194405059374,430.6472370013216,8.721706292941963,6.152103385733166,0.002762263978769135,-0.29462158216543555
75As,33,75,69772.1605205073,69784.83282383847,177.78775493163133,69962.6205787701,652.5660506127024,462.10599234989786,8.700880674836032,6.161413231331972,0.002729742877989637,-0.2918632651575717
80Se,34,80,74424.39477831936,74444.36027331717,184.87912483163063,74629.2393981488,696.8655630406429,492.0209432112024,8.710819538008035,6.15026179014003,0.0027523854300675345,-0.29395141716522655
84Kr,36,84,78144.66929852421,78164.65769922921,204.2690010992624,78368.92670032848,732.2660601957905,508.0086583915254,8.717453097568935,6.047722123708636,0.0028697722290892116,-0.30625125756108923
88Sr,38,88,81864.14142970924,81885.02288995202,224.43096595897492,82109.453855911,768.4689463707618,523.15652016901,8.732601663304111,5.944960456466023,0.0029965797224219795,-0.31922230216365355
89Y,39,89,82795.33695109436,82812.22216357189,235.6730289128052,83047.89519248469,775.5455131456401,522.987271755308,8.713994529726294,5.876261480396719,0.003050392095626273,-0.3256523790150586
90Zr,40,90,83725.26134631237,83739.6682336944,247.154645170337,83986.82287886474,783.893206087625,522.3316735352564,8.709924512084722,5.803685261502849,0.0031240455789140263,-0.33366985518066955
93Nb,41,93,86520.79241355207,86532.75649362268,257.00478776402974,86789.76128138672,805.7650680479273,536.7962002132845,8.66414051664438,5.772002152831016,0.003108719422598738,-0.3338055700109408
98Mo,42,98,91176.84522897264,91192.10064910074,265.18531491390166,91457.28596401465,846.246022867359,565.8052878253511,8.63516349864652,5.773523345156644,0.0030757889718352983,-0.3313938588352625
103Rh,45,103,95832.8695408431,95839.62607768671,299.9009195678744,96139.5269972546,884.1688165169035,577.5113601054036,8.584163267154402,5.606906408790326,0.00319991937923559,-0.3468313411227812
108Pd,46,108,100488.33326076344,100499.23697080044,308.61766117174915,100807.8546319722,925.2388668365602,605.7174956278031,8.567026544782964,5.608495329887067,0.003179686246557709,-0.345339330913775
107Ag,47,107,99557.44669751162,99560.1355121215,323.3350453670939,99883.4705574886,915.2666772083612,589.2428172313812,8.553894179517394,5.5069422171157125,0.0032747310300910797,-0.35620641294554684
114Cd,48,114,106075.78487752711,106086.21195915091,330.34101098952016,106416.55297014043,972.5931084728945,631.8250158595765,8.531518495376268,5.5423247005226015,0.0032124965467543957,-0.35037066337882133
115In,49,115,107007.24575363718,107012.9568453312,343.39691244288014,107356.35375777408,979.4043205228081,630.2963163859094,8.516559308893983,5.480837533790517,0.0032624707016630458,-0.35644932008319513
120Sn,50,120,111662.64373801871,111673.35644368253,352.6663457099977,112026.02278939252,1020.5401063812897,657.1610550074838,8.504500886510748,5.476342125062365,0.0032542579972077374,-0.35606542957170345
130Te,52,130,120980.30841388383,120996.12118540704,371.692745070586,121367.81393047763,1095.942970996155,708.4374544023594,8.430330546124269,5.449518880018149,0.003203046195485852,-0.3535818257418753
127I,53,127,118183.68420122462,118187.04531613836,389.28677949948616,118576.33209563784,1072.5775897353597,679.9296953221346,8.445492832561888,5.353777128520745,0.003322352802478943,-0.36607877898148533
132Xe,54,132,122840.34860772801,122848.06139614395,399.0892237481853,123247.15061989214,1112.4469534719829,705.6449413078517,8.42762843539381,5.345795009907968,0.003311631860173171,-0.36568216659184416
133Cs,55,133,123772.53973795463,123774.30956215702,413.1086142052367,124187.41817636226,1118.5279114053556,703.6494729977276,8.409984296280868,5.290597541336298,0.0033519425171850636,-0.37091469437393026
138Ba,56,138,128429.3083320734,128435.585670903,423.17113511521376,128858.75680601822,1158.2930875265884,728.8446135817649,8.393428170482524,5.281482707114238,0.0033438510221858357,-0.37075976587399395
