name,Z,A,B_obs,B_magic,B_refit,E_Coulomb,B_obs_nonCoulomb,ratio_magic,ratio_refit,ratio_refit_nonC
165Ho,67,165,1344.2494599385245,177.02185934837325,1378.620544698846,572.421282316241,1916.6707422547656,0.13168825030174747,1.025568977920135,0.7192787547208245
166Er,68,166,1351.5657374057337,178.58282383263577,1390.7922867029847,588.580723882687,1940.1464612884206,0.13213032773042696,1.029023042099709,0.7168491216788765
169Tm,69,169,1371.3473918048257,181.6243640180619,1414.473844594555,602.5421747613781,1973.889566566204,0.1324422718148949,1.0314482333560795,0.7165921886173128
174Yb,70,174,1406.591598559724,186.11830975909834,1449.4450966466393,614.2649427714643,2020.8565413311883,0.13231865592661987,1.030466197957385,0.7172429447623501
175Lu,71,175,1412.1006843187497,187.69959203261533,1461.7756004302064,630.8634808590516,2042.9641651778013,0.13292224422592688,1.035178027079154,0.7155170048237173
180Hf,72,180,1446.2888562097796,192.17145171912853,1496.574279493827,642.8234216699452,2089.112277879725,0.13287210980989173,1.03476858932304,0.7163685242483594
181Ta,73,181,1452.2331360135286,193.7652180401201,1509.002327082184,659.7116908013736,2111.944826814902,0.13342569676657964,1.0390909625051596,0.7145084037815339
184W,74,184,1472.9374353210442,196.7947238769848,1532.5898495000438,674.3318212795222,2147.269256600566,0.13360698096052603,1.0404989463561278,0.7137390174934802
187Re,75,187,1491.8799998326576,199.82216644100845,1556.1612507869431,689.0818267057298,2180.9618265383874,0.13393983863542797,1.0430874138412578,0.7135206273907486
192Os,76,192,1526.1162368193618,204.25472216296475,1590.6528420684335,701.5082693242546,2227.6245061436166,0.13383955771852607,1.0422881322484157,0.714057884388296
193Ir,77,193,1532.0630316571915,205.87124666836462,1603.2586987504328,718.9691070340034,2251.0321386911946,0.13437518066451823,1.0464704556027509,0.7122327003658894
195Pt,78,195,1545.68134732623,208.18573936240864,1621.288802785013,735.3579739793008,2281.039321305531,0.13468865346828124,1.0489152926569059,0.7107675819709606
197Au,79,197,1559.386385096208,210.49840651408886,1639.3046437748126,751.8963339299007,2311.2827190261087,0.134987972529401,1.0512498117480191,0.7092618442046573
202Hg,80,202,1595.165083167085,214.93164811763563,1673.8015935662552,764.759658366124,2359.924741533209,0.1347394388115018,1.0492967851597172,0.7092605811144683
205Tl,81,205,1615.0723029711808,217.948566456791,1697.2907708178682,780.2768719105748,2395.3491748817555,0.13494663121634876,1.0509069889288756,0.7085776005503054
208Pb,82,208,1636.4308837362332,220.9639930166304,1720.7682938712824,795.9200436230809,2432.350927359314,0.13502800222893271,1.0515374104542035,0.7074506702613991
209Bi,83,209,1640.229932622111,222.5897473967343,1733.4462590479816,814.2695568664917,2454.4994894886026,0.13570642930585775,1.0568312555282129,0.7062320715369742
232Th,90,232,1766.6870390371187,245.04064683895558,1908.2232072393817,925.5393116447948,2692.2263506819136,0.13870065349690222,1.0801138883542176,0.7087900342242948
235U,92,235,1783.8646370101196,249.03145319432952,1939.3262446362642,963.2335796796217,2747.098216689741,0.13960221421941713,1.0871487692511854,0.7059544623683518
238U,92,238,1801.6900694178476,251.04862293900806,1954.9995471150323,959.1692546303799,2760.8593240482273,0.13934062644865747,1.0850920368044885,0.7081126988565397
