sigma_aS,signature_ok,alpha_ratio_electron,alpha_ratio_muon,alpha_ratio_proton,alpha_ratio_neutron,alpha_ratio_Λ,alpha_ratio_Σ⁻,alpha_ratio_π⁰,alpha_ratio_π±,alpha_ratio_K±,alpha_ratio_ρ
-0.47,0,23.940998502208885,23.940998502208863,23.940998502208956,23.940998502208668,23.940998502209215,23.94099850220899,95.76399400883548,383.05597603534216,215.46898651988005,215.46898651988005
-0.4675,0,27.22087056054273,27.22087056054273,27.220870560542757,27.220870560542586,27.220870560542984,27.22087056054287,108.88348224217091,435.53392896868365,244.98783504488458,244.98783504488458
-0.46499999999999997,0,31.197914797726497,31.197914797726497,31.197914797726455,31.19791479772646,31.19791479772661,31.197914797726625,124.79165919090599,499.16663676362396,280.78123317953845,280.78123317953845
-0.4625,0,36.08178537034531,36.08178537210658,36.08178537122541,36.08178537122987,36.08178537034078,36.08178537034081,144.32714148490376,577.3085659360817,324.73606833840165,324.736068338365
-0.46,0,42.16661685239891,42.16661685239891,42.166616852399045,42.166616852398576,42.166616852399436,42.16661685239909,168.66646740959564,674.6658696383826,379.49955167159055,379.49955167159055
-0.4575,0,49.87514684402533,49.875146844025316,49.87514684402548,49.875146844025075,49.87514684402573,49.87514684402542,199.50058737610132,798.0023495044053,448.8763215962284,448.8763215962284
-0.455,0,59.83209805763628,59.83209805763624,59.83209805763634,59.832098057635996,59.832098057636806,59.832098057636586,239.32839223054506,957.3135689221803,538.4888825187269,538.4888825187269
-0.4525,0,72.99115742101293,72.99115742101289,72.99115742101291,72.99115742101323,72.99115742101226,72.99115742101249,291.96462968405166,1167.8585187362066,656.920416789116,656.920416789116
-0.45,0,90.86513333213178,90.86513333213178,90.86513333213159,90.86513333213225,90.86513333213101,90.86513333213146,363.4605333285271,1453.8421333141084,817.7861999891857,817.7861999891857
-0.4475,0,115.9667516198034,115.9667517143274,115.96675166703619,115.96675166727279,115.96675161956652,115.96675161956541,463.86700666826164,1855.4680264834037,1043.7007648623392,1043.7007648603756
-0.445,0,152.71091609105375,152.71091609105363,152.7109160910535,152.71091609105426,152.71091609105284,152.71091609105346,610.8436643642149,2443.3746574568595,1374.3982448194831,1374.3982448194831
-0.4425,0,209.41933380713436,209.4193338071342,209.4193338071348,209.41933380713363,209.41933380713522,209.41933380713428,837.6773352285371,3350.7093409141485,1884.7740042642092,1884.7740042642092
-0.44,0,303.26154733941104,303.26154733941104,303.2615473394117,303.26154733941036,303.2615473394117,303.2615473394106,1213.0461893576442,4852.184757430577,2729.353926054701,2729.353926054701
-0.4375,0,474.2098294378341,474.20983020398654,474.2098298206689,474.20982982259807,474.2098294359054,474.2098294359054,1896.8393192836409,7587.357275597438,4267.888467243303,4267.88846722739
-0.435,0,832.5821148879553,832.582114887955,832.582114887956,832.5821148879527,832.5821148879589,832.5821148879567,3330.328459551821,13321.313838207285,7493.239033991599,7493.239033991599
-0.4325,0,1773.014643539765,1773.0146435397642,1773.0146435397642,1773.0146435397635,1773.0146435397692,1773.0146435397692,7092.058574159059,28368.234296636238,15957.131791857882,15957.131791857882
-0.43,0,5516.4399310686895,5516.439931068687,5516.43993106869,5516.439931068687,5516.4399310686895,5516.439931068685,22065.759724274747,88263.03889709899,49647.9593796182,49647.9593796182
-0.4275,0,48579.131295748215,48579.1312957482,48579.13129574841,48579.13129574795,48579.13129574854,48579.13129574818,194316.5251829928,777266.1007319712,437212.1816617343,437212.1816617343
-0.425,1,819145881.864204,819145883.0193555,819145882.4414139,819145882.4443307,819145881.8612851,819145881.8612918,3276583529.767119,13106334116.750895,7372312940.249828,7372312940.225833
-0.4225,1,402.9947997076295,402.9947997076295,402.99479970763036,402.99479970762724,402.9947997076331,402.9947997076309,1611.979198830518,6447.916795322072,3626.953197368669,3626.953197368669
-0.42,1,225.7968732914409,225.79687329144062,225.79687329144105,225.79687329144068,225.79687329144062,225.79687329144025,903.1874931657632,3612.7499726630545,2032.1718596229668,2032.1718596229668
-0.4175,1,259.05594676294066,259.05594676294066,259.0559467629412,259.05594676294044,259.05594676294066,259.0559467629401,1036.2237870517627,4144.895148207051,2331.503520866466,2331.503520866466
-0.415,1,208.81623468501024,208.81623468501013,208.8162346850104,208.81623468500982,208.8162346850108,208.81623468501033,835.264938740041,3341.059754960164,1879.3461121650923,1879.3461121650923
-0.4125,1,162.3320750179999,162.33207501799978,162.3320750179998,162.33207501799964,162.3320750180002,162.3320750180001,649.3283000719993,2597.313200287997,1460.9886751619983,1460.9886751619983
-0.41000000000000003,1,127.55907710730227,127.55907710730227,127.5590771073023,127.55907710730239,127.5590771073019,127.55907710730195,510.2363084292091,2040.9452337168364,1148.0316939657198,1148.0316939657198
-0.4075,1,102.18271611349138,102.18271611349134,102.18271611349155,102.18271611349117,102.18271611349158,102.18271611349124,408.73086445396535,1634.9234578158614,919.6444450214224,919.6444450214224
