index,eigenvalue,sqrt_eigenvalue,enrichment
72,3.25598590e-01,5.70612469e-01,0.982586
73,3.36770686e-01,5.80319469e-01,1.006627
74,3.36770686e-01,5.80319469e-01,1.006627
75,3.39914744e-01,5.83022079e-01,0.991229
76,3.42413736e-01,5.85161291e-01,1.011109
77,3.42413736e-01,5.85161291e-01,1.011109
78,3.43482954e-01,5.86074188e-01,1.001808
79,3.43482954e-01,5.86074188e-01,1.001808
80,3.45862519e-01,5.88100773e-01,1.002801
81,3.51445311e-01,5.92828231e-01,1.021722
82,3.55016137e-01,5.95832306e-01,1.033559
83,3.55886743e-01,5.96562438e-01,1.018238
84,3.55886743e-01,5.96562438e-01,1.018238
85,3.64758325e-01,6.03952254e-01,1.011038
86,3.64758325e-01,6.03952254e-01,1.011038
87,3.68959377e-01,6.07420264e-01,1.019643
88,3.68959377e-01,6.07420264e-01,1.019643
89,3.72816841e-01,6.10587292e-01,1.001838
90,3.72816841e-01,6.10587292e-01,1.001838
91,3.79374194e-01,6.15933596e-01,1.012531
92,3.79374194e-01,6.15933596e-01,1.012531
93,3.83427789e-01,6.19215463e-01,1.005862
94,3.84011722e-01,6.19686793e-01,1.015404
95,3.95525257e-01,6.28907988e-01,1.006754
96,3.95755155e-01,6.29090737e-01,1.011770
97,4.00496602e-01,6.32848008e-01,1.008225
98,4.00496602e-01,6.32848008e-01,1.008225
99,4.03001092e-01,6.34823670e-01,1.001871
100,4.03001129e-01,6.34823699e-01,1.001873
101,4.13576436e-01,6.43099087e-01,1.007447
102,4.13576436e-01,6.43099087e-01,1.007447
103,4.18862148e-01,6.47195603e-01,1.006613
104,4.18862148e-01,6.47195603e-01,1.006613
105,4.33021543e-01,6.58043725e-01,1.006309
106,4.33021543e-01,6.58043725e-01,1.006309
107,4.33981699e-01,6.58772874e-01,1.001910
108,4.33981699e-01,6.58772874e-01,1.001910
109,4.38679981e-01,6.62329209e-01,1.005271
110,4.38698529e-01,6.62343211e-01,1.005783
111,4.53871988e-01,6.73700221e-01,1.005405
112,4.53880127e-01,6.73706261e-01,1.005611
113,4.59886927e-01,6.78149635e-01,1.004749
114,4.59886927e-01,6.78149635e-01,1.004749
115,4.65703040e-01,6.82424384e-01,1.001951
116,4.65703040e-01,6.82424384e-01,1.001951
117,4.76065142e-01,6.89974740e-01,1.004918
118,4.76065142e-01,6.89974740e-01,1.004918
119,4.82383003e-01,6.94537978e-01,1.004157
120,4.82383003e-01,6.94537978e-01,1.004157
121,4.98108174e-01,7.05767791e-01,1.001998
122,4.98108178e-01,7.05767793e-01,1.001998
123,4.99525222e-01,7.06770983e-01,1.004468
124,4.99525222e-01,7.06770983e-01,1.004468
125,5.06110427e-01,7.11414385e-01,1.003696
126,5.06119623e-01,7.11420848e-01,1.003674
127,5.24192739e-01,7.24011560e-01,1.004119
128,5.24204352e-01,7.24019580e-01,1.004109
129,5.30978649e-01,7.28682818e-01,1.003447
130,5.30978649e-01,7.28682818e-01,1.003447
131,5.31185704e-01,7.28824879e-01,1.001902
132,5.31185704e-01,7.28824879e-01,1.001902
133,5.50030292e-01,7.41640271e-01,1.003829
134,5.50030292e-01,7.41640271e-01,1.003829
135,5.57053768e-01,7.46360347e-01,1.003013
136,5.57053768e-01,7.46360347e-01,1.003013
137,5.64741311e-01,7.51492722e-01,1.002067
138,5.64741311e-01,7.51492722e-01,1.002067
139,5.76967043e-01,7.59583467e-01,1.003597
140,5.76967043e-01,7.59583467e-01,1.003597
141,5.84148622e-01,7.64296161e-01,1.002737
142,5.84157378e-01,7.64301889e-01,1.002744
143,5.98847922e-01,7.73852649e-01,1.002122
144,5.98847930e-01,7.73852654e-01,1.002122
145,6.04952377e-01,7.77786845e-01,1.003397
146,6.04959211e-01,7.77791239e-01,1.003406
147,6.12264886e-01,7.82473569e-01,1.002507
148,6.12264886e-01,7.82473569e-01,1.002507
