mass_MeV,substrate,kind,closure,n1,n2,n3,n4,n5,tube_dim,sigma_eff
1.240918e+01,"Ma(d3,d4,d5)",3D,open,0,0,-2,1,-3,,
1.240918e+01,"Ma(d3,d4,d5)",3D,open,0,0,-2,1,-2,,
1.240918e+01,"Ma(d3,d4,d5)",3D,open,0,0,-2,1,-1,,
1.240918e+01,"Ma(d3,d4,d5)",3D,open,0,0,-2,1,1,,
1.240918e+01,"Ma(d3,d4,d5)",3D,open,0,0,-2,1,2,,
1.240918e+01,"Ma(d3,d4,d5)",3D,open,0,0,-2,1,3,,
1.240918e+01,"Ma(d3,d4,d5)",3D,open,0,0,2,-1,-3,,
1.240918e+01,"Ma(d3,d4,d5)",3D,open,0,0,2,-1,-2,,
1.240918e+01,"Ma(d3,d4,d5)",3D,open,0,0,2,-1,-1,,
1.240918e+01,"Ma(d3,d4,d5)",3D,open,0,0,2,-1,1,,
1.240918e+01,"Ma(d3,d4,d5)",3D,open,0,0,2,-1,2,,
1.240918e+01,"Ma(d3,d4,d5)",3D,open,0,0,2,-1,3,,
1.240918e+01,"Ma(d3,d4,d5)",3D,open,0,0,2,1,-3,,
1.240918e+01,"Ma(d3,d4,d5)",3D,open,0,0,2,1,-2,,
1.240918e+01,"Ma(d3,d4,d5)",3D,open,0,0,2,1,-1,,
1.240918e+01,"Ma(d3,d4,d5)",3D,open,0,0,2,1,1,,
1.240918e+01,"Ma(d3,d4,d5)",3D,open,0,0,2,1,2,,
1.240918e+01,"Ma(d3,d4,d5)",3D,open,0,0,2,1,3,,
1.241853e+01,"Ma(d3,d4)",2D,closed,0,0,-2,-2,0,d3,1.6837
1.241853e+01,"Ma(d3,d4)",2D,closed,0,0,2,2,0,d3,1.6837
1.244140e+01,"Ma(d3,d4,d5)",3D,open,0,0,-2,-2,-2,,
1.244140e+01,"Ma(d3,d4,d5)",3D,open,0,0,-2,-2,-1,,
1.244140e+01,"Ma(d3,d4,d5)",3D,open,0,0,-2,-2,1,,
1.244140e+01,"Ma(d3,d4,d5)",3D,open,0,0,-2,-2,2,,
1.244140e+01,"Ma(d3,d4,d5)",3D,open,0,0,-2,2,-2,,
1.244140e+01,"Ma(d3,d4,d5)",3D,open,0,0,-2,2,-1,,
1.244140e+01,"Ma(d3,d4,d5)",3D,open,0,0,-2,2,1,,
1.244140e+01,"Ma(d3,d4,d5)",3D,open,0,0,-2,2,2,,
1.244140e+01,"Ma(d3,d4,d5)",3D,open,0,0,2,-2,-2,,
1.244140e+01,"Ma(d3,d4,d5)",3D,open,0,0,2,-2,-1,,
1.244140e+01,"Ma(d3,d4,d5)",3D,open,0,0,2,-2,1,,
1.244140e+01,"Ma(d3,d4,d5)",3D,open,0,0,2,-2,2,,
1.244140e+01,"Ma(d3,d4,d5)",3D,open,0,0,2,2,-2,,
1.244140e+01,"Ma(d3,d4,d5)",3D,open,0,0,2,2,-1,,
1.244140e+01,"Ma(d3,d4,d5)",3D,open,0,0,2,2,1,,
1.244140e+01,"Ma(d3,d4,d5)",3D,open,0,0,2,2,2,,
1.244140e+01,"Ma(d3,d4,d5)",3D,open,0,0,-2,-2,-3,,
1.244140e+01,"Ma(d3,d4,d5)",3D,open,0,0,-2,-2,3,,
1.244140e+01,"Ma(d3,d4,d5)",3D,open,0,0,-2,2,-3,,
1.244140e+01,"Ma(d3,d4,d5)",3D,open,0,0,-2,2,3,,
1.244140e+01,"Ma(d3,d4,d5)",3D,open,0,0,2,-2,-3,,
1.244140e+01,"Ma(d3,d4,d5)",3D,open,0,0,2,-2,3,,
1.244140e+01,"Ma(d3,d4,d5)",3D,open,0,0,2,2,-3,,
1.244140e+01,"Ma(d3,d4,d5)",3D,open,0,0,2,2,3,,
1.249491e+01,"Ma(d3,d4,d5)",3D,open,0,0,-2,-3,-3,,
1.249491e+01,"Ma(d3,d4,d5)",3D,open,0,0,-2,-3,-2,,
1.249491e+01,"Ma(d3,d4,d5)",3D,open,0,0,-2,-3,-1,,
1.249491e+01,"Ma(d3,d4,d5)",3D,open,0,0,-2,-3,1,,
1.249491e+01,"Ma(d3,d4,d5)",3D,open,0,0,-2,-3,2,,
1.249491e+01,"Ma(d3,d4,d5)",3D,open,0,0,-2,-3,3,,
1.249491e+01,"Ma(d3,d4,d5)",3D,open,0,0,-2,3,-3,,
1.249491e+01,"Ma(d3,d4,d5)",3D,open,0,0,-2,3,-2,,
1.249491e+01,"Ma(d3,d4,d5)",3D,open,0,0,-2,3,-1,,
1.249491e+01,"Ma(d3,d4,d5)",3D,open,0,0,-2,3,1,,
1.249491e+01,"Ma(d3,d4,d5)",3D,open,0,0,-2,3,2,,
1.249491e+01,"Ma(d3,d4,d5)",3D,open,0,0,-2,3,3,,
1.249491e+01,"Ma(d3,d4,d5)",3D,open,0,0,2,-3,-3,,
1.249491e+01,"Ma(d3,d4,d5)",3D,open,0,0,2,-3,-2,,
1.249491e+01,"Ma(d3,d4,d5)",3D,open,0,0,2,-3,-1,,
1.249491e+01,"Ma(d3,d4,d5)",3D,open,0,0,2,-3,1,,
1.249491e+01,"Ma(d3,d4,d5)",3D,open,0,0,2,-3,2,,
1.249491e+01,"Ma(d3,d4,d5)",3D,open,0,0,2,-3,3,,
1.249491e+01,"Ma(d3,d4,d5)",3D,open,0,0,2,3,-3,,
1.249491e+01,"Ma(d3,d4,d5)",3D,open,0,0,2,3,-2,,
1.249491e+01,"Ma(d3,d4,d5)",3D,open,0,0,2,3,-1,,
1.249491e+01,"Ma(d3,d4,d5)",3D,open,0,0,2,3,1,,
1.249491e+01,"Ma(d3,d4,d5)",3D,open,0,0,2,3,2,,
1.249491e+01,"Ma(d3,d4,d5)",3D,open,0,0,2,3,3,,
1.270469e+01,"Ma(d3,d4)",2D,closed,0,0,-2,2,0,d3,1.6837
1.270469e+01,"Ma(d3,d4)",2D,closed,0,0,2,-2,0,d3,1.6837
1.280930e+01,"Ma(d3,d4)",2D,closed,0,0,-3,-3,0,d4,1.6837
1.280930e+01,"Ma(d3,d4)",2D,closed,0,0,3,3,0,d4,1.6837
1.664484e+01,"Ma(d3,d4)",2D,closed,0,0,-1,1,0,d4,1.6837
1.664484e+01,"Ma(d3,d4)",2D,closed,0,0,1,-1,0,d4,1.6837
1.859763e+01,"Ma(d3,d5)",2D,closed,0,0,-3,0,-3,d3,2.0000
1.859763e+01,"Ma(d3,d5)",2D,closed,0,0,-3,0,-3,d5,2.0000
1.859763e+01,Ma(d3),1D,closed,0,0,-3,0,0,,
1.859763e+01,"Ma(d3,d5)",2D,closed,0,0,-3,0,3,d3,2.0000
1.859763e+01,"Ma(d3,d5)",2D,closed,0,0,-1,0,1,d5,2.0000
1.859763e+01,"Ma(d3,d5)",2D,closed,0,0,1,0,-1,d5,2.0000
1.859763e+01,"Ma(d3,d5)",2D,closed,0,0,3,0,-3,d3,2.0000
1.859763e+01,Ma(d3),1D,closed,0,0,3,0,0,,
1.859763e+01,"Ma(d3,d5)",2D,closed,0,0,3,0,3,d3,2.0000
1.859763e+01,"Ma(d3,d5)",2D,closed,0,0,3,0,3,d5,2.0000
1.860480e+01,"Ma(d3,d4,d5)",3D,open,0,0,-3,-1,-3,,
1.860480e+01,"Ma(d3,d4,d5)",3D,open,0,0,-3,-1,-2,,
1.860480e+01,"Ma(d3,d4,d5)",3D,open,0,0,-3,-1,-1,,
1.860480e+01,"Ma(d3,d4,d5)",3D,open,0,0,-3,-1,1,,
1.860480e+01,"Ma(d3,d4,d5)",3D,open,0,0,-3,-1,2,,
1.860480e+01,"Ma(d3,d4,d5)",3D,open,0,0,-3,-1,3,,
1.860480e+01,"Ma(d3,d4,d5)",3D,open,0,0,-3,1,-3,,
1.860480e+01,"Ma(d3,d4,d5)",3D,open,0,0,-3,1,-2,,
1.860480e+01,"Ma(d3,d4,d5)",3D,open,0,0,-3,1,-1,,
1.860480e+01,"Ma(d3,d4,d5)",3D,open,0,0,-3,1,1,,
1.860480e+01,"Ma(d3,d4,d5)",3D,open,0,0,-3,1,2,,
1.860480e+01,"Ma(d3,d4,d5)",3D,open,0,0,-3,1,3,,
1.860480e+01,"Ma(d3,d4,d5)",3D,open,0,0,3,-1,-3,,
1.860480e+01,"Ma(d3,d4,d5)",3D,open,0,0,3,-1,-2,,
1.860480e+01,"Ma(d3,d4,d5)",3D,open,0,0,3,-1,-1,,
1.860480e+01,"Ma(d3,d4,d5)",3D,open,0,0,3,-1,1,,
1.860480e+01,"Ma(d3,d4,d5)",3D,open,0,0,3,-1,2,,
1.860480e+01,"Ma(d3,d4,d5)",3D,open,0,0,3,-1,3,,
1.860480e+01,"Ma(d3,d4,d5)",3D,open,0,0,3,1,-3,,
1.860480e+01,"Ma(d3,d4,d5)",3D,open,0,0,3,1,-2,,
1.860480e+01,"Ma(d3,d4,d5)",3D,open,0,0,3,1,-1,,
1.860480e+01,"Ma(d3,d4,d5)",3D,open,0,0,3,1,1,,
1.860480e+01,"Ma(d3,d4,d5)",3D,open,0,0,3,1,2,,
1.860480e+01,"Ma(d3,d4,d5)",3D,open,0,0,3,1,3,,
1.862631e+01,"Ma(d3,d4,d5)",3D,open,0,0,-3,-2,-3,,
1.862631e+01,"Ma(d3,d4,d5)",3D,open,0,0,-3,-2,-2,,
1.862631e+01,"Ma(d3,d4,d5)",3D,open,0,0,-3,-2,-1,,
1.862631e+01,"Ma(d3,d4,d5)",3D,open,0,0,-3,-2,1,,
1.862631e+01,"Ma(d3,d4,d5)",3D,open,0,0,-3,-2,2,,
1.862631e+01,"Ma(d3,d4,d5)",3D,open,0,0,-3,-2,3,,
1.862631e+01,"Ma(d3,d4,d5)",3D,open,0,0,-3,2,-3,,
1.862631e+01,"Ma(d3,d4,d5)",3D,open,0,0,-3,2,-2,,
1.862631e+01,"Ma(d3,d4,d5)",3D,open,0,0,-3,2,-1,,
1.862631e+01,"Ma(d3,d4,d5)",3D,open,0,0,-3,2,1,,
1.862631e+01,"Ma(d3,d4,d5)",3D,open,0,0,-3,2,2,,
1.862631e+01,"Ma(d3,d4,d5)",3D,open,0,0,-3,2,3,,
1.862631e+01,"Ma(d3,d4,d5)",3D,open,0,0,3,-2,-3,,
1.862631e+01,"Ma(d3,d4,d5)",3D,open,0,0,3,-2,-2,,
1.862631e+01,"Ma(d3,d4,d5)",3D,open,0,0,3,-2,-1,,
1.862631e+01,"Ma(d3,d4,d5)",3D,open,0,0,3,-2,1,,
1.862631e+01,"Ma(d3,d4,d5)",3D,open,0,0,3,-2,2,,
1.862631e+01,"Ma(d3,d4,d5)",3D,open,0,0,3,-2,3,,
1.862631e+01,"Ma(d3,d4,d5)",3D,open,0,0,3,2,-3,,
1.862631e+01,"Ma(d3,d4,d5)",3D,open,0,0,3,2,-2,,
1.862631e+01,"Ma(d3,d4,d5)",3D,open,0,0,3,2,-1,,
1.862631e+01,"Ma(d3,d4,d5)",3D,open,0,0,3,2,1,,
1.862631e+01,"Ma(d3,d4,d5)",3D,open,0,0,3,2,2,,
1.862631e+01,"Ma(d3,d4,d5)",3D,open,0,0,3,2,3,,
1.862779e+01,"Ma(d3,d4)",2D,closed,0,0,-3,-3,0,d3,1.6837
1.862779e+01,"Ma(d3,d4)",2D,closed,0,0,3,3,0,d3,1.6837
1.866209e+01,"Ma(d3,d4,d5)",3D,open,0,0,-3,-3,-2,,
1.866209e+01,"Ma(d3,d4,d5)",3D,open,0,0,-3,-3,-1,,
1.866209e+01,"Ma(d3,d4,d5)",3D,open,0,0,-3,-3,1,,
1.866209e+01,"Ma(d3,d4,d5)",3D,open,0,0,-3,-3,2,,
1.866209e+01,"Ma(d3,d4,d5)",3D,open,0,0,-3,3,-2,,
1.866209e+01,"Ma(d3,d4,d5)",3D,open,0,0,-3,3,-1,,
1.866209e+01,"Ma(d3,d4,d5)",3D,open,0,0,-3,3,1,,
1.866209e+01,"Ma(d3,d4,d5)",3D,open,0,0,-3,3,2,,
1.866209e+01,"Ma(d3,d4,d5)",3D,open,0,0,3,-3,-2,,
